Fold,Image,GT_Class,GT_Box,Pred_Class,Pred_Box,IOU,Match,Class_Correct
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"746.0,633.0,867.0,738.0",0.0,"754.4,627.5,870.2,745.9",0.810,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1710.0,553.0,1853.0,703.0",0.0,"1712.2,553.1,1853.9,704.5",0.968,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1283.0,337.0,1427.0,475.0",0.0,"1286.5,338.9,1426.7,475.1",0.959,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"892.0,597.0,1022.0,738.0",0.0,"894.3,599.3,1019.5,735.2",0.928,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"399.0,850.0,525.0,973.0",0.0,"395.8,850.8,518.3,968.0",0.881,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"902.0,702.0,1034.0,814.0",0.0,"903.5,699.6,1034.7,807.3",0.906,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"674.0,147.0,819.0,307.0",0.0,"675.2,147.6,811.9,307.5",0.936,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1497.0,1245.0,1602.0,1363.0",0.0,"1505.0,1252.9,1601.1,1347.7",0.736,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"624.0,1065.0,716.0,1173.0",0.0,"625.2,1066.3,719.4,1173.7",0.934,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1472.0,617.0,1598.0,739.0",0.0,"1476.1,619.0,1605.4,736.3",0.880,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1768.0,133.0,1917.0,274.0",0.0,"1772.9,133.3,1920.4,272.6",0.934,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"600.0,665.0,710.0,801.0",0.0,"609.5,666.6,710.9,801.0",0.895,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1741.0,376.0,1890.0,516.0",0.0,"1740.2,373.0,1893.1,518.8",0.936,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"546.0,614.0,667.0,730.0",0.0,"548.0,619.4,667.5,730.6",0.930,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"770.0,170.0,885.0,364.0",0.0,"771.9,168.8,883.6,361.2",0.952,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1754.0,691.0,1862.0,806.0",0.0,"1762.8,692.6,1860.4,804.1",0.877,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1375.0,138.0,1500.0,283.0",0.0,"1373.3,136.4,1499.1,283.6",0.965,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1478.0,386.0,1647.0,521.0",0.0,"1481.3,379.8,1642.6,519.1",0.902,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1449.0,83.0,1589.0,242.0",0.0,"1453.9,77.5,1592.3,237.8",0.889,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1569.0,38.0,1711.0,208.0",0.0,"1570.4,31.8,1713.7,212.7",0.914,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"923.0,0.0,1060.0,144.0",0.0,"927.3,0.0,1060.5,143.0",0.958,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"557.0,830.0,682.0,981.0",0.0,"576.1,849.0,708.9,978.9",0.615,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1702.0,1043.0,1830.0,1163.0",0.0,"1707.7,1056.0,1823.8,1161.6",0.798,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1589.0,645.0,1722.0,750.0",0.0,"1572.5,634.6,1724.2,767.5",0.693,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1720.0,779.0,1811.0,883.0",0.0,"1713.9,773.1,1813.8,887.4",0.830,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1506.0,301.0,1666.0,440.0",0.0,"1503.5,296.6,1667.8,439.1",0.938,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1672.0,955.0,1804.0,1065.0",0.0,"1682.0,951.9,1808.8,1072.2",0.821,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1060.0,40.0,1236.0,194.0",0.0,"1060.0,50.4,1233.3,195.3",0.911,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1782.0,443.0,1926.0,577.0",0.0,"1780.4,426.6,1936.7,572.8",0.796,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1786.0,975.0,1938.0,1108.0",0.0,"1780.5,973.3,1940.6,1103.1",0.905,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"117.0,366.0,244.0,475.0",0.0,"119.1,367.2,246.2,477.0",0.939,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1709.0,836.0,1898.0,976.0",0.0,"1738.2,849.3,1889.7,990.0",0.671,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1738.0,915.0,1885.0,1064.0",0.0,"1687.9,936.5,1888.7,1066.8",0.639,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"598.0,981.0,733.0,1090.0",0.0,"607.7,958.1,775.3,1081.4",0.552,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,1,"1567.0,472.0,1722.0,640.0",0.0,"1564.1,468.3,1723.4,655.5",0.874,Yes,No
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,1,"808.0,546.0,959.0,694.0",1.0,"806.7,545.1,960.2,687.0",0.932,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,1,"129.0,266.0,246.0,438.0",1.0,"115.3,265.6,249.8,469.6",0.733,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1003.0,273.0,1155.0,420.0",0.0,"1012.4,271.0,1156.3,421.2",0.912,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1061.0,1222.0,1186.0,1339.0",0.0,"1062.1,1220.9,1186.4,1339.6",0.973,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1171.0,385.0,1309.0,510.0",0.0,"1171.1,383.4,1308.4,508.7",0.972,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1374.0,591.0,1514.0,718.0",0.0,"1375.4,592.4,1512.9,716.7",0.961,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"262.0,1124.0,403.0,1248.0",0.0,"259.8,1123.7,400.1,1246.9",0.954,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"190.0,330.0,332.0,459.0",0.0,"190.1,329.0,330.4,457.9",0.972,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1421.0,721.0,1539.0,837.0",0.0,"1410.1,712.9,1546.8,844.5",0.761,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"138.0,1029.0,272.0,1159.0",0.0,"143.5,1029.1,271.2,1155.3",0.925,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"288.0,108.0,417.0,251.0",0.0,"292.4,105.8,416.6,249.1",0.936,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"595.0,55.0,743.0,176.0",0.0,"596.1,54.4,741.5,175.8",0.976,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1602.0,471.0,1734.0,612.0",0.0,"1603.8,469.8,1734.4,612.2",0.973,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1100.0,193.0,1236.0,330.0",0.0,"1095.7,192.4,1236.9,336.1",0.918,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"830.0,799.0,975.0,923.0",0.0,"828.4,801.1,977.5,924.9",0.942,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1687.0,1214.0,1841.0,1364.0",0.0,"1686.1,1210.7,1842.4,1361.4",0.947,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1655.0,912.0,1799.0,1046.0",0.0,"1656.4,910.3,1799.6,1046.5",0.971,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"985.0,806.0,1150.0,931.0",0.0,"989.4,803.4,1152.4,932.2",0.932,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1692.0,254.0,1821.0,383.0",0.0,"1687.3,246.2,1827.8,385.5",0.850,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"68.0,1123.0,197.0,1255.0",0.0,"68.1,1121.0,189.1,1246.9",0.869,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1531.0,671.0,1682.0,810.0",0.0,"1531.1,668.6,1681.0,809.5",0.973,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"573.0,654.0,698.0,782.0",0.0,"572.0,653.4,700.7,775.5",0.919,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"757.0,965.0,909.0,1075.0",0.0,"760.6,967.3,913.1,1067.7",0.870,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"942.0,692.0,1112.0,812.0",0.0,"948.1,692.3,1108.0,809.4",0.917,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1322.0,450.0,1472.0,594.0",0.0,"1323.6,451.0,1471.8,594.3",0.979,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"454.0,1224.0,644.0,1325.0",0.0,"448.8,1221.4,645.0,1321.6",0.913,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"415.0,93.0,560.0,243.0",0.0,"413.3,94.2,560.9,243.3",0.973,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"887.0,1212.0,1036.0,1309.0",0.0,"883.4,1203.6,1045.8,1313.0",0.814,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"848.0,150.0,1018.0,268.0",0.0,"842.2,146.0,1019.3,272.1",0.899,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"813.0,632.0,962.0,748.0",0.0,"815.9,640.7,961.7,750.6",0.886,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"972.0,556.0,1117.0,697.0",0.0,"970.9,551.7,1116.9,699.4",0.947,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1612.0,1135.0,1771.0,1299.0",0.0,"1613.4,1137.2,1776.4,1302.9",0.924,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"682.0,600.0,821.0,701.0",0.0,"686.4,589.9,826.7,709.3",0.791,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"131.0,1197.0,282.0,1317.0",0.0,"126.6,1189.3,286.4,1317.3",0.886,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1026.0,387.0,1169.0,504.0",0.0,"1021.7,390.8,1181.9,504.8",0.861,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1781.0,747.0,1943.0,911.0",0.0,"1784.6,750.5,1942.1,920.0",0.904,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1477.0,518.0,1623.0,684.0",0.0,"1474.3,512.8,1628.5,681.0",0.902,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1022.0,259.0,1192.0,406.0",0.0,"1027.9,257.0,1197.8,407.4",0.913,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"734.0,814.0,851.0,940.0",0.0,"736.9,799.0,853.3,938.5",0.846,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1797.0,1010.0,1943.0,1161.0",0.0,"1798.5,1012.7,1943.4,1153.0",0.917,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1133.0,629.0,1283.0,752.0",0.0,"1131.6,623.2,1288.7,760.7",0.855,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1353.0,1080.0,1520.0,1212.0",0.0,"1347.2,1082.1,1517.9,1222.9",0.869,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1135.0,920.0,1287.0,1070.0",0.0,"1133.5,921.3,1286.7,1069.7",0.979,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"390.0,201.0,608.0,310.0",0.0,"387.3,203.4,612.4,312.5",0.926,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"1749.0,1116.0,1881.0,1246.0",0.0,"1743.4,1108.2,1885.7,1243.4",0.859,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,0,"671.0,701.0,788.0,817.0",0.0,"678.2,697.6,786.4,815.1",0.886,Yes,Yes
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1,"492.0,304.0,652.0,448.0",0.0,"491.2,306.5,652.0,446.1",0.964,Yes,No
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1,"871.0,12.0,1039.0,143.0",0.0,"866.9,6.9,1042.2,150.5",0.874,Yes,No
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1,"625.0,1214.0,826.0,1321.0",0.0,"629.8,1217.5,828.1,1329.3",0.869,Yes,No
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1,"785.0,503.0,963.0,647.0",0.0,"784.8,501.7,974.7,646.3",0.924,Yes,No
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1,"643.0,1026.0,803.0,1151.0",0.0,"650.0,1021.8,804.3,1149.4",0.907,Yes,No
1,0346611b-ea43-45bd-9f16-c6e8086273d2.jpg,1,"785.0,696.0,907.0,815.0",0.0,"778.1,694.5,905.5,826.4",0.844,Yes,No
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1267.0,634.0,1398.0,758.0",0.0,"1267.9,635.5,1397.1,760.0",0.959,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1236.0,19.0,1371.0,162.0",0.0,"1239.5,22.2,1372.5,165.0",0.922,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"439.0,533.0,573.0,663.0",0.0,"439.0,533.6,574.7,664.0",0.976,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1261.0,1000.0,1396.0,1133.0",0.0,"1261.0,998.3,1394.7,1132.6",0.975,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1704.0,795.0,1848.0,935.0",0.0,"1702.7,798.0,1847.1,937.0",0.951,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"698.0,207.0,852.0,354.0",0.0,"695.8,208.3,850.8,354.3",0.968,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"838.0,686.0,981.0,826.0",0.0,"838.9,684.3,982.3,823.7",0.958,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1595.0,448.0,1746.0,593.0",0.0,"1596.2,447.8,1748.7,593.0",0.974,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1591.0,1042.0,1729.0,1182.0",0.0,"1591.7,1040.8,1730.0,1181.5",0.976,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"388.0,78.0,523.0,217.0",0.0,"388.3,78.4,524.9,217.9",0.975,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1451.0,318.0,1603.0,449.0",0.0,"1447.0,313.1,1602.7,452.3",0.915,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1191.0,826.0,1319.0,962.0",0.0,"1191.1,827.6,1318.8,963.9",0.972,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1086.0,524.0,1229.0,659.0",0.0,"1089.2,524.7,1228.4,660.6",0.958,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"700.0,670.0,845.0,810.0",0.0,"702.0,669.3,843.7,811.9",0.960,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"134.0,917.0,271.0,1056.0",0.0,"134.2,916.6,271.2,1058.1",0.979,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1060.0,1124.0,1197.0,1263.0",0.0,"1062.0,1123.4,1197.7,1262.2",0.970,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1687.0,298.0,1835.0,440.0",0.0,"1688.4,297.3,1835.5,439.8",0.981,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1745.0,689.0,1882.0,799.0",0.0,"1741.0,688.0,1883.4,798.7",0.951,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1511.0,1172.0,1651.0,1301.0",0.0,"1507.1,1169.7,1649.9,1299.2",0.935,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1669.0,1151.0,1814.0,1282.0",0.0,"1667.9,1150.5,1814.5,1281.5",0.982,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1261.0,341.0,1402.0,484.0",0.0,"1261.2,340.7,1401.8,484.7",0.990,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1355.0,879.0,1513.0,1001.0",0.0,"1356.3,877.1,1517.5,1003.3",0.932,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1111.0,697.0,1255.0,839.0",0.0,"1110.3,696.0,1253.6,838.5",0.976,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1570.0,127.0,1715.0,271.0",0.0,"1570.7,125.8,1715.8,271.0",0.982,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1320.0,1165.0,1463.0,1296.0",0.0,"1320.2,1162.4,1466.8,1298.3",0.937,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1736.0,455.0,1889.0,591.0",0.0,"1731.1,456.0,1886.5,590.9",0.946,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"908.0,54.0,1060.0,204.0",0.0,"907.5,53.3,1065.1,204.2",0.958,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"104.0,234.0,211.0,406.0",0.0,"99.7,229.6,212.3,406.0",0.926,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"60.0,40.0,199.0,204.0",0.0,"61.6,34.3,196.8,207.3",0.923,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"303.0,1183.0,456.0,1329.0",0.0,"304.6,1182.9,457.8,1328.7",0.975,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"241.0,174.0,397.0,298.0",0.0,"236.4,173.6,394.7,300.7",0.934,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1705.0,122.0,1858.0,268.0",0.0,"1700.7,124.2,1860.3,271.8",0.921,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"602.0,335.0,748.0,488.0",0.0,"602.4,332.2,747.3,491.2",0.955,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"326.0,242.0,474.0,386.0",0.0,"323.7,242.4,474.9,387.0",0.970,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1619.0,729.0,1749.0,846.0",0.0,"1608.7,725.2,1744.8,853.5",0.820,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1630.0,633.0,1770.0,756.0",0.0,"1632.6,634.2,1765.0,757.0",0.930,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"495.0,241.0,651.0,382.0",0.0,"498.5,244.4,650.1,384.0",0.936,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"265.0,799.0,416.0,944.0",0.0,"266.2,798.4,418.3,945.8",0.961,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1713.0,547.0,1852.0,686.0",0.0,"1714.8,546.5,1853.6,687.6",0.962,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"924.0,1170.0,1079.0,1313.0",0.0,"925.1,1165.8,1078.2,1312.5",0.956,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1073.0,972.0,1221.0,1135.0",0.0,"1070.9,971.5,1222.1,1132.3",0.960,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"166.0,39.0,285.0,196.0",0.0,"176.6,38.4,288.7,202.4",0.849,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1017.0,107.0,1168.0,242.0",0.0,"1013.8,106.9,1166.2,244.9",0.947,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"858.0,246.0,990.0,377.0",0.0,"853.0,244.0,989.2,380.1",0.922,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"195.0,283.0,357.0,428.0",0.0,"195.5,284.6,357.7,430.0",0.969,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1094.0,1234.0,1260.0,1371.0",0.0,"1089.5,1235.3,1258.2,1371.1",0.953,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"1421.0,1071.0,1559.0,1225.0",0.0,"1419.7,1066.3,1557.6,1229.7",0.925,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"769.0,814.0,923.0,972.0",0.0,"768.9,814.6,924.3,972.2",0.986,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"330.0,622.0,478.0,768.0",0.0,"331.5,621.8,481.2,773.7",0.932,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"553.0,64.0,750.0,197.0",0.0,"549.6,76.0,749.6,199.2",0.879,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"997.0,262.0,1141.0,435.0",0.0,"993.2,264.4,1141.2,437.4",0.947,Yes,Yes
1,03be08c8-2cf3-4de6-8ac6-5f7817a6a643.jpg,0,"563.0,176.0,709.0,303.0",0.0,"564.4,174.7,719.1,306.5",0.892,Yes,Yes
